,obs_next,blockID,obs,trialID,t,is_done,reward,tot_t,action,stage,randomplanet,rewardplanet,highstate,transition,p_reward_low,p_trans,p_reward_high,p_ambiguity
46,2.0,1,0.0,24.0,1,False,0.0,47,1,0,1.0,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
47,0.0,1,2.0,24.0,0,False,0.0,48,0,1,,[1. 0.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
48,2.0,1,0.0,25.0,1,False,0.0,49,2,0,,[1. 0.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
49,0.0,1,2.0,25.0,0,False,0.0,50,0,1,,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
50,2.0,1,0.0,26.0,1,False,0.0,51,1,0,,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
51,0.0,1,2.0,26.0,0,False,1.0,52,0,1,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
52,2.0,1,0.0,27.0,1,False,0.0,53,1,0,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
53,0.0,1,2.0,27.0,0,False,0.0,54,0,1,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
54,2.0,1,0.0,28.0,1,False,0.0,55,1,0,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
55,0.0,1,2.0,28.0,0,False,0.0,56,0,1,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
56,1.0,1,0.0,29.0,1,False,0.0,57,2,0,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
57,0.0,1,1.0,29.0,0,False,1.0,58,0,1,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
58,1.0,1,0.0,30.0,1,False,0.0,59,2,0,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
59,0.0,1,1.0,30.0,0,True,1.0,60,0,1,0.0,[1. 1.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
0,2.0,1,0.0,1.0,1,False,0.0,1,2,0,,[1. 0.],0,[2 2],0.5,[0.8 0.8],0.5,0.6
1,0.0,1,2.0,1.0,0,False,0.0,2,0,1,0.0,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
2,1.0,1,0.0,2.0,1,False,0.0,3,1,0,0.0,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
3,0.0,1,1.0,2.0,0,False,0.0,4,0,1,0.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
4,1.0,1,0.0,3.0,1,False,0.0,5,1,0,0.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
5,0.0,1,1.0,3.0,0,False,1.0,6,0,1,0.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
6,1.0,1,0.0,4.0,1,False,0.0,7,1,0,0.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
