,blockID,obs_next,trialID,tot_t,reward,obs,action,stage,is_done,t,transition,highstate,randomplanet,rewardplanet,p_reward_high,p_reward_low,p_trans,p_ambiguity
47,1,0.0,24.0,48,0.0,2.0,0,1,False,0,[1 2],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
48,1,2.0,25.0,49,0.0,0.0,2,0,False,1,[1 2],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
49,1,0.0,25.0,50,1.0,2.0,0,1,False,0,[1 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
50,1,1.0,26.0,51,0.0,0.0,2,0,False,1,[1 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
51,1,0.0,26.0,52,0.0,1.0,0,1,False,0,[2 2],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
52,1,2.0,27.0,53,0.0,0.0,2,0,False,1,[2 2],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
53,1,0.0,27.0,54,1.0,2.0,0,1,False,0,[2 1],1,1.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
54,1,2.0,28.0,55,0.0,0.0,2,0,False,1,[2 1],1,1.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
55,1,0.0,28.0,56,1.0,2.0,0,1,False,0,[2 2],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
56,1,1.0,29.0,57,0.0,0.0,2,0,False,1,[2 2],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
57,1,0.0,29.0,58,1.0,1.0,0,1,False,0,[2 1],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
58,1,1.0,30.0,59,0.0,0.0,2,0,False,1,[2 1],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
59,1,0.0,30.0,60,0.0,1.0,0,1,True,0,[1 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
0,1,1.0,1.0,1,0.0,0.0,2,0,False,1,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
1,1,0.0,1.0,2,0.0,1.0,0,1,False,0,[2 2],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
2,1,2.0,2.0,3,0.0,0.0,1,0,False,1,[2 2],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
3,1,0.0,2.0,4,1.0,2.0,0,1,False,0,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
4,1,1.0,3.0,5,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
5,1,0.0,3.0,6,1.0,1.0,0,1,False,0,[2 1],1,,[0. 0.],0.6,0.4,[0.2 0.2],0.6
6,1,2.0,4.0,7,0.0,0.0,1,0,False,1,[2 1],1,,[0. 0.],0.6,0.4,[0.2 0.2],0.6
7,1,0.0,4.0,8,0.0,2.0,0,1,False,0,[1 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
8,1,1.0,5.0,9,0.0,0.0,1,0,False,1,[1 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
9,1,0.0,5.0,10,0.0,1.0,0,1,False,0,[2 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
10,1,2.0,6.0,11,0.0,0.0,2,0,False,1,[2 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
11,1,0.0,6.0,12,0.0,2.0,0,1,False,0,[2 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
12,1,2.0,7.0,13,0.0,0.0,1,0,False,1,[2 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
13,1,0.0,7.0,14,1.0,2.0,0,1,False,0,[2 2],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
14,1,1.0,8.0,15,0.0,0.0,1,0,False,1,[2 2],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
15,1,0.0,8.0,16,0.0,1.0,0,1,False,0,[1 1],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
16,1,1.0,9.0,17,0.0,0.0,1,0,False,1,[1 1],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
17,1,0.0,9.0,18,1.0,1.0,0,1,False,0,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
18,1,2.0,10.0,19,0.0,0.0,1,0,False,1,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
19,1,0.0,10.0,20,1.0,2.0,0,1,False,0,[2 1],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
20,1,1.0,11.0,21,0.0,0.0,1,0,False,1,[2 1],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
21,1,0.0,11.0,22,1.0,1.0,0,1,False,0,[2 1],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
22,1,2.0,12.0,23,0.0,0.0,1,0,False,1,[2 1],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
23,1,0.0,12.0,24,0.0,2.0,0,1,False,0,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
24,1,2.0,13.0,25,0.0,0.0,1,0,False,1,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
25,1,0.0,13.0,26,1.0,2.0,0,1,False,0,[2 2],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
26,1,1.0,14.0,27,0.0,0.0,1,0,False,1,[2 2],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
27,1,0.0,14.0,28,1.0,1.0,0,1,False,0,[2 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
28,1,2.0,15.0,29,0.0,0.0,1,0,False,1,[2 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
29,1,0.0,15.0,30,1.0,2.0,0,1,False,0,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
30,1,1.0,16.0,31,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
31,1,0.0,16.0,32,1.0,1.0,0,1,False,0,[1 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
32,1,1.0,17.0,33,0.0,0.0,1,0,False,1,[1 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
33,1,0.0,17.0,34,1.0,1.0,0,1,False,0,[2 2],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
34,1,2.0,18.0,35,0.0,0.0,1,0,False,1,[2 2],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
35,1,0.0,18.0,36,1.0,2.0,0,1,False,0,[1 2],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
36,1,1.0,19.0,37,0.0,0.0,1,0,False,1,[1 2],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
37,1,0.0,19.0,38,0.0,1.0,0,1,False,0,[2 1],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
38,1,2.0,20.0,39,0.0,0.0,1,0,False,1,[2 1],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
39,1,0.0,20.0,40,0.0,2.0,0,1,False,0,[2 1],1,1.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
40,1,2.0,21.0,41,0.0,0.0,1,0,False,1,[2 1],1,1.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
41,1,0.0,21.0,42,0.0,2.0,0,1,False,0,[1 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
42,1,2.0,22.0,43,0.0,0.0,2,0,False,1,[1 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
